DRN8	DRN0	PRN8	PRN0	DTU	PTU
TFF2	LOC401268	TWF1	KIF18A	GANC	LOC100133214
MIR92A2	LOC642424	LOC440386	WBP1	FLJ40039	ARFGEF1
AADACL4	DNMT1	LOC645983	LOC648672	C6orf138	LOC729298
IFI27L1	LOC650621	DEFB124	RNF126	LOC100128172	PIWIL2
WDR17	HOXB5	TAS2R46	RAB11FIP5	MIR648	ACER2
DHRS4L1	LOC100131223	LOC732446	HNRNPF	OR14J1	LOC286411
OR1F2P	OGFOD1	LOC642538	LOC645875	LOC653238	LOC652801
AKIRIN1	SEMA4C	TEX14	RAF1	SAMD12	LOC100131169
ZNF174	TAS2R4	LOC653576	C10orf59	LOC645001	LAT1-3TM
LOC220429	PPM1G	HIST2H2AB	PCCB	LOC651997	LOC643201
LOC441127	LOC100129602	C20orf54	TOR3A	RHOJ	LOC100128423
SLIT3	SLC15A1	SELT	LOC650427	PPP5C	ZNF512
LOC645249	ANKRD42	CXCL13	PDE6D	RPS9	TULP3
MIR1250	LOC648152	WSCD2	LOC100132252	CMYA3	HNRNPH3
CD63	FAM39DP	FAM26A	TMEM9	LOC100190938	LOC642204
MIR545	ADA	SOX8	LOC732206	CXorf67	LGSN
	MIR1302-3	VSTM2L	LOC440311	BTN3A1	LOC442261
	LOC100130264	ZBTB6	LOC387745	ELF5	ZNF350
	LOC647034	SPRY4	ARMC6	LOC100128913	ZNF12
	LOC642076	GLRA1	FAM125A	KIAA1957	EIF3A
	DAK	MIR626	LPHN1	NCRNA00152	SCRN3
	LOC645663	ACTL6B	NFKBIB	ST7	MGC34829
	SERPINB3	HES1	TEX2	TEX12	TAX1BP1
	LGALS3BP	C19orf4	PDS5B	ASB17	LOC644075
	ADCK4	AGXT2	LOC643986	ZNF510	C6orf162
	MRPL49	LRRC4B	HMP19	CHADL	LOC651481
	SNORA71C	MIR874	COL5A3	LOC732300	IFT20
	C8orf51	LOC100130274	LOC650737	LOC727978	SHANK1
	LOC643856	CARD6	ELOVL2	LOC100130919	EXD2
	MIR33A	CDC42EP4	CD320	LOC100128619	WNK3
	LOC144742	ECSCR	CRELD1	LOC643311	LOC196549
	CCL5	LOC388849	KLK4	GPRASP2	LOC100129631
	SEC24C	LOC651576	CASP7	C9orf57	TDRD10
	C9orf127	PHLDB1	SULT1E1	LOC652233	LOC730926
	LOC85389	LOC220416	MLXIPL	AP4E1	LYG1
	LOC645522	C19orf30	LOC441957	CDY2B	SHFM1
	NR0B2	LOC100134267	GMEB2	REPS1	WDR60
	ADNP2	BLOC1S1	SEL1L	LOC651562	OR4K14
	KCNMB2	CYP8B1	LOC90113	SNORD105	LOC644602
	MATK	LOC388814	C22orf32	ARID1B	SLC7A6OS
	LOC286367	AP1GBP1	MRPS11	OR1D2	LOC728716
	LOC649009	LOC389199	MIR124-2	MON1A	LOC201651
	CACNA2D2	MIR133B	OR13C4	LOC100133908	OR7E37P
	SSR3	LOC643935	POLDIP2	C12orf11	LOC647806
	RBPJL	MEOX1	LOC729231	ZNF385C	C1orf52
	KLF12	LOC642867	WHSC1L1	LOC729603	LOC644456
	P2RX2	TTTY12	TOMM22	LOC648145	FLJ46257
	PARP10	ELOVL2	LOC643206	TRIM29	APLF
	NTSR2	MICAL1	LOC100132793	LOC729898	SNORD114-3
	NCLN	LIN7A	LOC643854	EIF3H	MIR181C
	ACSF2	LOC646607	XPO5	CDCA5	NEBL
	C12orf51	TMEM149	LOC652324	LOC642359	C19orf29
	RTN4R	TINAG	MIR1322	LOC340096	LOC650029
	LOC641975	C21orf99	LOC647911	ATP2A2	LOC100130344
	FLJ10374	IDO2	SLC41A2	FAM126A	LOC651380
	CTSK	LOC646445	THBD	CDH19	C3orf56
	LELP1	LOC391769	SSNA1	LOC641989	GBAS
	LOC652190	LOC729698	ANG	NXPH3	AHNAK2
	APEH	KIF18B	KIR2DL1	CDC42BPA	ESR1
	LOC100132057	LOC650938	LOC729372	LOC100133398	LYPLA2
	NDUFB8	LOC650990	DNAH1	GUCY1B3	LOC100133401
	C1orf130	PRDM12	SFXN4	MIR181A2	TTC3L
	H1F0	LOC644057	LOC100129924	LOC389722	DCAF15
	PCNT	LOC344328	LOC388755	LOC729854	DOCK11
	TBC1D20	GAST	SNORA76	C20orf141	HOXD11
	HIST1H3I	C21orf29	LRRCC1	LOC646869	ACSL4
	LOC649406	MRPS27	C6orf150	LOC440295	GOLGA4
	LOC652224	LOC100131046	MLST8	HYALP1	LOC100132117
	MIR653	FAM91A2	C8orf33	LOC646717	LOC100130288
	TOMM40	TMEM233	DUX4C	CACNA1C	FLJ44048
	IFT88	FAM176B	CDC25C	MIR134	LOC729197
	LOC441282	LOC644408	C21orf130	LOC441151	KIF13A
	CSNK2A2	CTTNBP2NL	IL23A	LOC100130790	ZNF3
	LOC100134674	LOC441031	FXR2	SMEK1	LSM11
	IL6ST	LOC642446	MIR129-1	LOC643868	LOC162073
	FLJ37543	PQBP1	TLR8	MIR761	SIK2
	KIR2DS4	LOC730429	LOC441874	EPHA10	LOC402644
	LOC731007	RGS20	TM7SF3	ARHGAP10	POLS
	LOC652326	GPR20	LOC439949	MAGI2	HRG
	KLF10	LOC646473	MTMR4	LEFTY1	LOC730109
	PDXDC2	LOC85391	ZNF408	KRTAP10-7	LOC644695
	LOC100134162	LOC644652	FARSA	LOC652286	LOC646200
	COASY	LOC652651	DENND4A	LOC647989	FAM9C
	TJP3	LOC650159	LOC402509	PLD1	C15orf56
	SLC22A9	LOC642398	CEBPE	HSPA9	LCE2B
	TMEM150A	ZBTB17	DDA1	UCKL1	HIBCH
	ZNF514	IGSF10	OR6X1	ZNF286A	C10orf137
	PI4KB	LOC728990	STAG3L4	LOC643069	HYAL1
	FSTL3	DIP2C	RSRC1	DUSP2	UGT2B11
	LOC643501	LOC653673	LOC644058	C8ORFK32	LOC647391
	PDE1A	LOC646976	OR4S1	FLJ35740	LOC645897
	TOP3B	TRIM31	TAF15	C2orf73	MIR297
	TCF23	HMGCL	PRKCI	BTBD16	TIGD7
	LOC645614	LOC401602	PTGFRN	SLC25A4	ZNF33B
	GPR152	PKNOX1	FGFR1OP	CC2D2B	MIR665
	BIK	LOC731282	LOC653227	HEATR6	ADAM11
	UNC13C	C10orf40	OSBPL5	ZNF609	LOC401237
	LOC653799	FKBP10	RINL	LOC644480	C14orf135
	LOC650427	NME6	LOC100190939	LOC285501	TTC6
	MIR769	LOC727997	HR	LCE3D	ATP7A
	C12orf45	LOC729399	LOC653136	LOXL1	RPF1
	C14orf93	SYPL2	LOC100129643	WNT6	LOC646074
	LOC645529	SYT14L	MIR921	SPEN	MGC13168
	LOC100128905	CDK5R2	BCR	SLC4A9	FAM69A
	SLC37A4	LOC388755	DUSP28	LOC650227	MAP4K4
	MARK1	PGS1	C21orf88	CRKL	CSGALNACT1
	LOC728014	MIR580	ZNF259	LOC646400	ASS1
	C14orf70	ZNF18	AQP3	LOC652641	ASTE1
	GALR2	VPS39	CA3	SLC26A2	EFHA1
	LOC100130776	OR52D1	LOC100129026	LOC729580	CRYAB
	LOC649999	LOC391276	USP45	GPM6A	SMTN
	C14orf180	LOC729677	LOC100133797	LOC649091	LOC643318
	BRF1	CD274	LOC391810	LOC728100	SNRPD3
	PRB4	NAV3	RUFY3	LOC148203	IRS4
	FGF19	FLJ33996	C3orf70	MIR602	GPR158L1
	CISD3	GPR22	LOC641941	C14orf65	OPN5
	SMPD1	TCEB3	KIAA1571	LOC346887	CRB1
	GPN2	LOC392467	LNPEP	LOC100134497	LOC651175
	LOC390387	INS	IL18BP	SHC1	BPY2
	TESK1	CSPG4LYP1	C20orf132	LOC201140	LOC652876
	LOC652111	SFRS15	WHAMML1	LOC100132154	LOC441511
	GMDS	LOC286135	OR10G7	PPP1R10	LOC645971
	CASC1	ORMDL2	CETN1	SOCS1	C21orf30
	XYLT2	RNF181	LOC285016	CTSB	LOC649346
	LOC653557	LOC391352	LOC390940	LOC100130168	RCCD1
	STARD9	OR5K1	LOC644403	LOC643801	RBM34
	HMHA1	LGI2	C6orf107	C14orf144	INTS2
	EPHB2	NGEF	CCDC37	IGSF11	PLRG1
	ELP2	TNNI1	MIR129-2	P2RY4	WBP4
	LOC647691	SC5DL	BOP1	ZFHX3	ENTPD7
	CALR3	LOC440570	SLC13A2	LOC100128892	CNPY4
	EVL	ZNF414	TP53I11	LOC650830	CCT6P1
	C1orf192	CHTF18	PCDH9	CNTN5	ATF2
	STK11IP	LOC100132169	SERPINF1	C20orf179	KIF23
	RNFT2	SHE	PRSSL1	MOCS1	MIR190B
	LOC645648	MIR421	KLHL26	LOC642785	ZNF479
	STAG3L2	FAM71D	G6PC	FUCA2	VRK1
	LOC651777	HAAO	SH3RF3	MAOB	LOC650193
	CASC2	RAB11FIP4	HEMK1	RGSL2	TIGIT
	CLRN1	C8orf54	LOC653741	LOC643985	LOC646813
	USP20	LOC650566	LOC729915	ZSCAN5B	LOC93432
	LOC647107	MXD3	TBX20	CYS1	LOC100130952
	OR51A4	CLN6	LOC652456	FAM174B	TMEM130
	TPM2	LOC653052	BCL2L14	PDCD7	GPR18
	CMTM6	AMPD1	LOC649856	LOC100134654	LOC440352
	SMARCD1	LOC100134108	LOC253573	ERCC-00039	LOC643686
	LOC732393	PDK3	TRIM7	LOC651849	NEU1
	UQCC	LOC731915	MCM3AP	LBA1	C13orf33
	FES	DHX9	GPR68	SNORD114-8	1-Dec
	LOC652843	ESRRAP2	SNORD32B	ERCC-00083	KIAA0776
	LOC391045	ASPH	OVGP1	RAI2	AGA
	TTTY4	LOC643402	KCNAB2	SGOL1	OPN1SW
	YARS	LOC647747	LMOD2	LOC652647	SNORA33
	C20orf196	LOC400987	NUPL2	ZNF506	KIAA0753
	C12orf55	FAM19A5	MED9	MIR219-2	UQCR
	NMNAT2	LOC100130904	CCDC144C	LOC649993	PHOX2B
	LOC648744	PLA2G4F	NR2C2AP	BRCA2	LOC402100
	LOC100132221	HLA-DQB2	OR4A16	RNU4-2	THOC2
	COG4	KIR3DL2	EIF2C4	NKD1	MGC87042
	MYH16	HAUS5	BTC	TP53I11	HIST1H3B
	LOC647190	CMBL	TPD52L2	LOC342346	PPDPF
	QRICH1	LOC154449	IMPG2	CAMK4	PLD2
	LOC646357	TMEM192	C3orf21	LOC642411	LOC440896
	FAM155A	TCTE1	LIN54	SDHAF2	LOC652589
	MYCBP2	WDR77	MAS1L	KCNMB4	LOC100132620
	ZDHHC17	LOC649967	LOC647347	INPP4A	LOC727879
	HK1	ZC3H7B	KRTAP10-2	LOC645655	LOC642384
	PDC	LOC439949	ARHGAP28	ADAMTS8	IL12A
	ESAM	RILPL1	LOC649652	SNORD12B	DUSP2
	ITGA7	LOC642594	C20orf24	GATA4	UCN2
	NRP2	LOC652515	PTPDC1	GAN	POLR3E
	LOC644404	CLK2	RXRG	FAM53A	TRIP11
	LOC729986	ERCC-00137	LOC401052	MGC24125	MIR1277
	RAD51L3	GSDMC	LOC727805	LOC652436	NDST3
	LOC729069	LOC338829	LOC100130701	LOC100133979	RLN1
	DNASE1	LOC648302	KCNN3	RAB5C	OC90
	GAB3	LRRC31	LOC440226	LOC391722	LOC643167
	TRAPPC3	LOC729390	LOC729254	DAP3	ZNF624
	SLC6A11	ERCC-00156	LOC641751	LOC100130511	C6orf70
	MAK	LOC441204	VENTX	AOF2	LOC648000
	PDP2	LOC730456	TMEM208	RAB19	LOC644548
	HRH1	C20orf132	C1orf113	LOC441698	OR6C76
	LOC654101	RAB6C	SLC24A6	LOC136288	MAGEA10
	HSD3B2	SNORD33	TMEM151A		LOC389457
	LOC100130814	PIPOX	DYM		SERBP1
	DDX56	LOC442229	ETV1		LOC100133067
	MAP3K7IP1	MIR1915	KIAA1202		LOC728193
	KLHL13	ATP6V0E1	CYC1		LOC388436
	SHOC2	ZNF408	POLI		LOC401676
	LOC642504	LOC439936	LOC100134764		LOC644816
	DMRTB1	LOC100128859	SMR3A		MIR181B1
	LTBP4	FAHD2B	LAMA4		CSRP2BP
	TRPV2	LOC650029	GFAP		LOC441655
	YIPF1	LOC349114	LOC100130454		HNRNPA2B1
	LOC732391	ZC3H13	VAMP3		LOC100129315
	PLEKHH1	FRMPD3	LOC401431		LOC442512
	ZDBF2	LOC644556	LOC643761		LOC100128728
	LOC126860	ZNF280D	PCDHB13		LOC645367
	NPEPL1	SNORD114-17	LOC650217		PRDM13
	LOC100129386	LOC647513	LOC730919		GGNBP2
	LOC100129626	MSL3L2	CCDC47		LOC730474
	ZBTB48	RMND1	OR5AS1		CHD2
	C10orf107	MIR587	LOC440389		SNORD10
	LOC100131060	BMX	LOC642691		SNORA62
	HLA-DRB1	ELOVL4	LOC649136		SETD2
	CYP21A2	MYH11	LOC100128683		ZC3H15
	MIR1302-5	ANK3	TRPA1		SET
	DIAPH1	GGH	OR13C9		PCSK9
	SLC10A1	OLFML3	FER1L3		SYCE1
	ZC3H5	TAC1	ZBTB43		MIR521-2
	CSF1R	MORC1	ZNF434		KPNA3
	SCARNA13	CCDC3	NRSN2		RPRD1B
	NFIC	LOC652794	LOC653808		LOC285299
	FAM92B	GNASAS	LOC728601		LOC648625
	LOC100008588	C9orf125	PRAMEF17		MAPKAPK2
	SPEF2	CHAD	RASSF9		NMT1
	ST18	NAT8	CPNE7		PDZD11
	SNX17	OR51B2	TMEM177		LOC728295
	WIPI1	KCNK3	SCARNA3		OR7A17
	FAM125B	RTKN	CSPP1		SUCLA2
	TTTY1	GOLGA2L1	CD59		FAM26D
	C7orf46	DMBX1	EDC4		LOC100129436
	NCKIPSD	CYP17A1	ZNF268		CCDC27
	ISM2	RNASEH2C	LOC653366		DBI
	ARSA	FAM87B	ZNF658B		NDUFB3
	LOC652761	TM6SF2	FCGR1A		SF3B1
	PNPLA6	CMC1	LOC100127982		TRIB2
	CHPF2	MTX1	LOC651044		MBL1P1
	LOC652759	LIPE	MYH8		MIR513A2
	LOC652848	LOC442057	TMEM200C		LOC100129842
	LONP1	DHRS13	ALDH6A1		LOC646179
	PLEKHM3	ABI2	PGAP3		LOC645955
	STX1A	WBP2NL	C14orf133		MRAP2
	ENPP7	LOC649618	LOC651820		LOC127150
	LOC651381	ABCG5	C10orf75		DNALI1
	GPS1	CATSPER1	ZBTB45		LOC653807
	NLRP6	EGFL7	TLR7		VPS33B
	KLKP1	C22orf29	UBE2D4		LOC644869
	SAMD7	SASH3	LOC644111		LOC648434
	SNORD24	LOC100131477	NRG3		FRMD6
	BCAT2	USH2A	CAV1		PABPC5
	LOC651337	LOC389257	LOC338579		ANKLE1
	ESX1	LOC654128	LOC100133459		CWC22
	NTRK1	SPIC	KIF9		HEATR7A
	LOC647723	LRAT	ROBO2		MTERF
	CNTN5	LOC100130351	TTPAL		LOC401620
	HEXDC	LOC651140	OR10R2		ENOPH1
	TREX1	KCNQ1OT1	LOC728093		ADAM29
	EIF2AK3	SYT16	CHRAC1		MIR186
	VARS2	LOC730036	CXorf58		TMEM184C
	OR4C3	OR5A1	B4GALNT4		MIR1293
	FAM50A	CABP5	C21orf122		RFX6
	S1PR5	VCX	TP53I13		TRIM61
	GART	LOC100130633	LOC391025		LOC729319
	CYTSA	SCNN1B	LGALS9B		LOC728263
	TSSK2	LOC100128576	TRIM37		LOC650062
	TOR1AIP1	LOC442249	CDADC1		ELP2
	ERCC-00097	LOC652757	PTGES2		LOC649174
	LOC400707	LOC402110	FRG2B		LOC730004
	LOC100131500	VPS52	PLK4		TMEM207
	LY6G5C	ERCC-00048	ZNF319		LOC644508
	QDPR	REXO1L1	IGSF2		FLJ90680
	FAM75A6	MYO1H	HIST1H2AM		LOC400027
	MGP	SULT2B1	LOC653103		RCAN1
	GGA2	LEPRE1	LOC728787		TTC23
	BICD1	SEMA3D	LOC728739		LOC651060
	PLEKHO1	LOC729798	CXorf18		LOC441896
	LOC100130673	TNF	OR6T1		SNORD114-29
	FAR2	NRSN2	LOC100133018		COL5A1
	HELZ	LOC645089	LOC651680		PADI2
	LOC651933	LOC284688	GFOD2		AGGF1
	LOC100128300	C10orf107	TNRC18		LOC728465
	PLCL2	CLEC3A	TNFAIP8L2		LOC729519
	HLA-DMA	VSIG2	ST7OT4		CAPN6
	POU5F2	TncRNA	PCCA		CCDC112
	LOC646278	ANKRD53	LOC651758		LOC728132
	TLN2	SLC16A7	GTF3C5		SFRS12
	COX7B2	MIR221	BCORL1		C6orf52
	KIAA1407	ZNF470	CD200R1		TRPV5
	RBP1	BPY2B	RPA4		C1orf168
	TYSND1	LOC652816	ALG9		LOC645232
	LOC100128760	OR5AY1	SLC10A5		DHX15
	LOC643396	C6orf208	FOXRED1		LOC649407
	UTS2D	PIB5PA	OSGEP		HNRPA2B1
	LOC100133569	LYG1	ALAS1		NDUFA8
	PCDHGC4	LENG8	IDO1		KTN1
	MYOM1	KDM2B	LOC651655		LOC653800
	RNF6	LRRC4C	LOC100133632		LOC100130892
	AKR1E2	LOC728290	CPAMD8		SLC25A33
	LOC391322	TMEM139	TNF		DPM1
	BRD2	LOC388122	PAX7		FAM122B
	LOC441237	SBNO1	GUCA2A		LOC730510
	PLOD3	USP41	KRT79		NIPBL
	ZNF341	MMP3	SAMD1		MTRF1
	SOX10	OR2A42	PAAF1		POLR3GL
	PEX7	CA7	NXF4		LOC100131342
	PCK2	LOC652898	LOC339778		LOC286297
	C1QTNF6	LOC646676	FLJ31813		LOC653234
	PUM1	LOC100128055	LOC650689		C16orf42
	CNPY4	FLJ32310	LOC727825		GMPR2
	ZNF184	B9D1	LOC648470		BAT5
	PRPSAP1	FRMD6	C5orf42		LOC100132605
	LOC340527	LOC652368	STXBP5		TCFL5
	LRRC4B	USP28	SIAE		IDH1
	KIF1C	LOC650392	SOSTDC1		LOC646864
	FAM176A	LOC652806	LOC390617		LOC650744
	CCDC17	C16orf7	SLC35D1		PWWP2B
	ZC3H11A	IGSF9	KRBA1		GNG12
	ALKBH6	BRS3	LOC730052		LOC644047
	LOC392288	C14orf148	EGR3		C22orf25
	TMEM59L	S100A7A	LOC100131330		C22orf42
	RPUSD1	CLIC1	LOC729545		LOC642662
	LOC650803	RPLP0P2	COL11A2		CENPC1
	FAM114A1	WNT3	PADI3		COL5A3
	LOC401720	GPR45	LOC728807		ZNF419
	FAM20B	LOC100128533	C21orf128		PSMD14
	RBCK1	KIAA1586	ZNF749		LOC643990
	C5orf60	FLJ22639	LOC647753		ZNF747
	ZCCHC2	RHOC	LOC100131360		IFI30
	OR4K2	LOC646982	C14orf131		LOC100133632
	PLEKHM2	LOC728138	LOC652450		OSCP1
	OR4X2	BHMT	LOC653464		FBXO5
	PSMB10	DLG3	SCRT2		MYO5C
	LOC100129905	LOC645227	LOC388002		LOC643772
	PCSK5	LOC342979	OR8H2		MMADHC
	EEF2	LOC390705	POTEG		C21orf125
	LGALS4	LOC642374	LOC100130904		LOC645039
	ILF3	EN2	LOC442726		LOC100133600
	HDGFL1	MON1B	DPY19L3		PHLPP2
	LOC100128264	LOC400011	MAGEC2		LRRC55
	LOC148203	BTG4	FLJ20489		GTPBP4
	FAM179A	HAS2AS	LOC649095		LOC100130503
	IL20RA	GHSR	LAMA1		LOC652577
	LOC100131653	ERCC-00104	LOC727914		NDUFA5
	CACNB3	TESK1	NCR3		STX16
	C8orf33	LOC644735	DSP		C19orf2
	XAGE1E	CHRNA2	RHO		LOC642097
	ZNF397	RELB	LOC642325		POLR2B
	ADCY8	OLFM1	LOC646057		LOC219347
	LOC645202	TSTD2	RPTOR		ZMYM2
	ABI3	CTSF	PLCXD2		CCPG1
	HIPK3	HARS2	ASIP		PRMT3
	SPATS2L	LOC100134138	AGRN		P4HA1
	LOC644763	TPMT	LOC729451		FLJ32955
	LOC643132	LOC728100	NDUFC2		SMN2
	PHACTR4	LOC648496	LOC643959		PCDHGA8
	LOC91431	NGB	NCKAP1		KLK6
	STATH	ATP6V0A2	CLEC4D		LOC650950
	DHX58	C1QA	C5		PDHA2
	C8orf49	LOC644781	LOC613206		OR6C6
	LOC100131794	ZNF663	TMC4		LOC652776
	PHLDB3	PSD2	MUL1		CMAS
	RAB21	HABP2	ING3		RAB27B
	TMEM40	LOC646207	G6PC2		PPP1R13L
	MFNG	FAM111B	LOC644419		LOC641738
	LOC728673	ERBB2IP	LOC653753		PRICKLE2
	CLCNKA	LOC647243	TACO1		AP3M2
	CHKB	PSEN2	LOC644879		CEP110
	ACOXL	CCT8L1	C22orf31		LOC100131261
	LOC388780	FXR2	ALDH1B1		LOC647015
	NME6	VTRNA1-2	C7orf27		LOC100127888
	LOC100132628	LOC391025	SIGLEC7		ZNF251
	RBM14	C21orf57	C1orf222		GCH1
	FLJ22675	LOC100134710	ADRA2A		PLEKHG7
	ODF4	SLC5A3	ZNF18		LOC100128672
	MVP	LOC284428	SNX13		NDUFA3
	DNAJA3	FER1L5	LOC401115		LOC643550
	SUMO1P3	LOC100131688	PALLD		ZMYM1
	DDX43	RAC3	C1orf135		BBS5
	LOC100132288	THEM5	LOC646473		CDC37L1
	LOC642935	GGT6	LOC652515		LOC647346
	RNF126	IL31	LOC644096		MS4A5
	LPAR2	VPS18	MED20		LOC727726
	MBOAT4	LOC440491	MIR194-2		HNRNPH2
	XRCC1	BAT4	LOC651772		GNL2
	LZIC	RPTN	RAB35		API5
	C3orf30	DEFB107A	SPRY4		C12orf61
	NUS1	C10orf125	ZNF705A		C9orf110
	FNBP1L	AXIN1	PGS1		LOC644889
	LOC654091	LOC643721	IQCG		LOC388401
	GNB1L	LOC729882	CPT2		WDR37
	LOC653344	COL29A1	OVCA2		VPS36
	SCUBE1	LOC100134444	DUSP23		FOXC1
	C2orf55	CSF2RB	LOC729156		DDX50
	C14orf102	JAK3	SPERT		C20orf106
	LOC285296	ZNF155	LOC349114		LOC100134209
	LOC645882	LOC100132649	LOC100134674		KCNJ10
	CLN3	B3GALNT2	FLJ23356		GNG4
	FREM1	THOC5	FLJ10986		VSIG4
	AKAP13	LOC649620	LOC649686		GJA5
	B3GALT2	HISPPD1	CT45A6		LOC645534
	LOC121981	LOC644530	CXorf48		MRTO4
	MIR323	TNFRSF18	LOC342918		USP16
	IL12A	LOC648706	FAM3B		LOC440776
	C16orf3	LOC100133036	TMEM97		BET1
	RNF217	LOC727874	ARHGAP10		MCOLN3
	PNRC1	MIR636	LOC285550		KIAA1602
	LOC100129552	CCDC137	VWA1		FUBP1
	LOC728312	LOC648733	LOC647935		PRAMEF3
	LOC286528	C20orf71	HSPBAP1		CTGLF7
	MIR139	LOC441453	FGR		NSUN2
	LYG1	LOC653899	LOC100130054		CENPI
	LOC647500	LOC642869	ST3GAL6		LARP7
	EPN3	CT47A7	LOC100129719		SKIV2L2
	PLEKHF1	OBFC1	FLJ16331		BRIX1
	MYBPC1	NR4A2	LOC643961		UCHL1
	LOC642413	FBXO2	TRAF2		LOC642897
	TMEM145	AUP1	NRBP1		LOC642118
	CD160	LOC643993	INDO		WBSCR23
	CCT7	CCR5	LOC652147		TMX1
	CHN2	LOC645723	HMGCL		IGBP1
	AKAP4	MIR1202	ZDHHC9		DZIP1
	LOC642439	LOC90925	ARSD		SLC35B3
	FCN1	CD1A	ZC3H3		AGPAT2
	LOC729780	SLC12A7	REXO1		LOC729957
	LOC144776	LOC653200	ANKH		PPAT
	LOC100132632	PAX3	C12orf55		LOC642360
	LCK	MAP3K14	C3orf26		OGDHL
	CYTSB	NOC2L	LOC201175		MYNN
	LOC100133846	LINGO4	CTPS		LOC340515
	CDK10	LOC649092	OR5AR1		CICK0721Q.1
	LOC388458	FAM158A	LOC729501		LOC730243
	ATXN7L2	AHSA1	ZFYVE27		FGF7
	CHST12	RAB41	LOC100130214		GOLGA6
	ABR	F2	LOC647191		LOC100132004
	C10orf6	TTLL4	LOC650724		TP53BP1
	LOC652697	C21orf136	LENG8		ZNF280D
	LOC729324	LOC100128074	CLN5		SEPHS1
	MEP1A	LOC728212	UGT2B7		ACBD4
	SLAMF7	LOC729977	CREB3		MIR1197
	HCCS	PRAMEF2	LOC653114		HOXA6
	LOC100130667	DMXL1	OR56B4		BRWD3
	NANOS3	LOC728056	LOC100133080		LOC100134739
	FLYWCH2	MIR559	OR10A7		NOL11
	COBL	FLJ20309	RIT1		LOC728127
	LOC100133975	LOC642743	LOC648169		C11orf76
	STAT6	NKAIN1	PSCD4		LOC100132252
	COX10	TBX20	LPAL2		DLK2
	LOC652575	SLC33A1	ADCK5		LSM4
	FLJ20718	LOC729731	TCF23		SFRS1
	MIR210	SLC27A6	ZNF189		LOC650463
	SPHK2	LOC646241	C20orf96		LOC100133224
	LOC730656	GRIK2	MIR200C		SNORA11E
	FZR1	LOC652274	PDCD2L		TUBB2C
	ATP6V0E2	C9orf156	DLL4		MCTS1
	C17orf100	LOC649946	SSBP2		RILP
	LOC644433	LOC100134276	C16orf57		LOC440910
	SH2B1	MAGEA12	KIAA0773		LOC439936
	LOC100134815	PPM1H	LOC122038		SMC6
	LOC642855	RIC3	PALB2		PDCD1
	PRCC	TRIM11	PEX10		GPATCH2
	PIRT	CCL16	SAP18		RFX7
	RNF138P1	ERCC-00165	LOC441698		C14orf72
	LGR5	TTC16	LOC728936		NOP58
	SLC43A1	LOC729920	LOC652675		UNC50
	FAM78A	MCOLN3	PNOC		STUB1
	NDST4	LOC441257	PF4		STATH
	BTNL9	LECT1	TMEM31		UTP20
	KRTAP4-4	KIAA0040	PRKAG1		OR52E8
	LOC374491	LOC440356	GS85		RPL26
	HES2	PNKP	C11orf9		CLEC4M
	SPPL3	LOC728611	EXOSC1		FAM72D
	LOC648754	ZNF833	COL9A2		KCNH2
	OR4F21	FOXM1	RPS6KA1		TTC13
	C11orf47	LOC644584	OTUD3		WDR67
	LOC652049	USH1C	TNRC6A		UTP3
	LOC100128757	IL24	DVL2		LOC400506
	CCDC122	LIPG	PLK3		LOC727753
	DVL2	OLIG1	HSPG2		LOC731042
	DERL2	LOC647058	FAM124B		AACSL
	C21orf2	LOC647102	FAM125B		C19orf21
	LOC401072	OCLM	LOC645038		MRFAP1L1
	PEBP4	MEP1A	ZYG11A		C2orf25
	COQ10A	C10orf65	LOC649970		MRPL42
	LOC392435	PCCB	KRTAP27-1		UNC13B
	AP1G2	LOC727815	AMPD3		CASP1
	LOC641958	C14orf183	DSCR9		SPATA4
	LOC730316	COL11A2	FLJ14213		HOXA5
	SORCS2	DIO3	GPR82		CLDN1
	LOC100129272	ZC3H8	RPS19BP1		TCEB1
	CYP2D7P1	LOC643107	TSPO		LOC730360
	STK32C	UGT1A1	LOC642935		LOC642321
	LOC728530	LOC100132330	INSM1		GPR37
	LOC645359	FBXO16	RABL2B		SSB
	PTBP1	GSTM1L	ZNF224		LOC728905
	MIR302C	LOC648963	MIR647		CTAG1B
	NID2	LOC100127904	TRPM6		LOC654134
	MFI2	PSCD4	KIR3DX1		ADNP
	LOC645580	PGM5P2	THAP3		PTGIS
	LOC646437	VDAC2	GPR111		LOC651158
	LOC647006	USH1G	UGCGL2		RIMBP2
	LOC652331	LOC652466	DIO3		C9orf29
	LOC648699	ACTR1A	SLITRK1		LOC645634
	PODN	NEU2	MGC44328		MIR449C
	LOC650804	SLC28A2	BBS4		MAGOH
	TPCN1	LOC644094	LGALS8		MRPL16
	C10orf71	FAM18A	DGKE		C12orf35
	OLAH	LOC338739	LOC643130		MRPL48
	TIAF1	ATRN	SNCG		LOC653276
	LOC390530	LOC100134261	SPRY1		SLC19A2
	CEP164	TEX12	LOC729289		LOC643982
	NIPAL2	MIR720	C6orf140		LOC196120
	LPAR5	TGIF2LY	PTCHD1		ARL11
	RNF212	VNN1	CUGBP2		FAM89B
	CLSTN1	LOC145837	C9orf144B		EFEMP1
	FASLG	OTOS	PMP2		ADD2
	DGAT1	TRAF3	POLR3D		FOXK2
